uuid,text_url,text_version,pdf_path
GA2001S8,http://www.legis.ga.gov/Legislation/20012002/296.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2001S8/GA2001S8_2.pdf
GA2001SR278,http://www.legis.ga.gov/Legislation/20012002/4852.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2001SR278/GA2001SR278_2.pdf
GA2001SR520,http://www.legis.ga.gov/Legislation/20012002/16657.pdf,3,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2001SR520/GA2001SR520_3.pdf
GA2002H1092,http://www.legis.ga.gov/Legislation/20012002/10461.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2002H1092/GA2002H1092_2.pdf
GA2002H1213,http://www.legis.ga.gov/Legislation/20012002/19159.pdf,12,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2002H1213/GA2002H1213_12.pdf
GA2002H1335,http://www.legis.ga.gov/Legislation/20012002/17448.pdf,5,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2002H1335/GA2002H1335_5.pdf
GA2002H1554,http://www.legis.ga.gov/Legislation/20012002/14023.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2002H1554/GA2002H1554_2.pdf
GA2002H1770,http://www.legis.ga.gov/Legislation/20012002/16754.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2002H1770/GA2002H1770_2.pdf
GA2002S414,http://www.legis.ga.gov/Legislation/20012002/19911.pdf,8,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2002S414/GA2002S414_8.pdf
GA2003H114,http://www.legis.ga.gov/Legislation/20032004/27918.pdf,5,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2003H114/GA2003H114_5.pdf
GA2003H1164,http://www.legis.ga.gov/Legislation/20032004/39197.pdf,5,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2003H1164/GA2003H1164_5.pdf
GA2003H128,http://www.legis.ga.gov/Legislation/20032004/21500.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2003H128/GA2003H128_2.pdf
GA2003H1363,http://www.legis.ga.gov/Legislation/20032004/39131.pdf,5,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2003H1363/GA2003H1363_5.pdf
GA2003H1370,http://www.legis.ga.gov/Legislation/20032004/39203.pdf,5,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2003H1370/GA2003H1370_5.pdf
GA2003H1716,http://www.legis.ga.gov/Legislation/20032004/40258.pdf,6,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2003H1716/GA2003H1716_6.pdf
GA2003H1717,http://www.legis.ga.gov/Legislation/20032004/36347.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2003H1717/GA2003H1717_2.pdf
GA2003H1721,http://www.legis.ga.gov/Legislation/20032004/39245.pdf,5,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2003H1721/GA2003H1721_5.pdf
GA2003H1771,http://www.legis.ga.gov/Legislation/20032004/39263.pdf,7,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2003H1771/GA2003H1771_7.pdf
GA2003H28,http://www.legis.ga.gov/Legislation/20032004/21132.pdf,2,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2003H28/GA2003H28_2.pdf
GA2003H312,http://www.legis.ga.gov/Legislation/20032004/26633.pdf,5,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2003H312/GA2003H312_5.pdf
GA2003H333,http://www.legis.ga.gov/Legislation/20032004/29513.pdf,5,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2003H333/GA2003H333_5.pdf
GA2003H657,http://www.legis.ga.gov/Legislation/20032004/28733.pdf,5,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2003H657/GA2003H657_5.pdf
GA2003H682,http://www.legis.ga.gov/Legislation/20032004/30826.pdf,5,/Users/josephloffredo/MIT Dropbox/Joseph Loffredo/election_bill_text/data/georgia/GA2003H682/GA2003H682_5.pdf
