session_name,title,full_url
2005 Regular Session,House Bill 2029 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2029.a.pdf
2005 Regular Session,House Bill 2029 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2029.en.pdf
2005 Regular Session,House Bill 2029 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2029.intro.pdf
2005 Regular Session,House Bill 2029 - Senate Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2029.1sa.pdf
2005 Regular Session,House Bill 2030 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2030.a.pdf
2005 Regular Session,House Bill 2030 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2030.en.pdf
2005 Regular Session,House Bill 2030 - House Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2030.1ha.pdf
2005 Regular Session,House Bill 2030 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2030.intro.pdf
2005 Regular Session,House Bill 2031 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2031.en.pdf
2005 Regular Session,House Bill 2031 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2031.intro.pdf
2005 Regular Session,House Bill 2032 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2032.en.pdf
2005 Regular Session,House Bill 2032 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2032.intro.pdf
2005 Regular Session,House Bill 2033 - A-Engrossed,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2033.a.pdf
2005 Regular Session,House Bill 2033 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2033.en.pdf
2005 Regular Session,House Bill 2033 - House Amendments,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2033.1ha.pdf
2005 Regular Session,House Bill 2033 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2033.intro.pdf
2005 Regular Session,House Bill 2034 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2034.en.pdf
2005 Regular Session,House Bill 2034 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2034.intro.pdf
2005 Regular Session,House Bill 2035 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2035.intro.pdf
2005 Regular Session,House Bill 2036 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2036.intro.pdf
2005 Regular Session,House Bill 2037 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2037.intro.pdf
2005 Regular Session,House Bill 2038 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2038.intro.pdf
2005 Regular Session,House Bill 2039 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2039.intro.pdf
2005 Regular Session,House Bill 2040 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2040.intro.pdf
2005 Regular Session,House Bill 2041 - Enrolled,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2041.en.pdf
2005 Regular Session,House Bill 2041 - Introduced,https://www.oregonlegislature.gov/bills_laws/archivebills/2005_hb2041.intro.pdf
