session_id,bill_id,url
04,SB766,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=130
04,SB767,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=131
04,SB768,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=132
04,SB769,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=133
04,SB770,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=134
04,SB771,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=135
04,SB772,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=136
04,SB773,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=137
04,SB774,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=138
04,SB775,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=139
04,SB776,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=140
04,SB777,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=141
04,SB778,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=142
04,SB779,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=143
04,SB780,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=144
04,SB781,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=145
04,SB782,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=146
04,SB783,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=147
04,SB784,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=148
04,SB785,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=149
04,SB786,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=150
04,SB787,https://senate.mo.gov/04info/BTS_Web/Bill.aspx?SessionType=R&BillID=151
