UUID,session,bill_number
AZ2004S1250,2004 - Forty-sixth Legislature - Second Regular Session,SB1250
AZ2004S1287,2004 - Forty-sixth Legislature - Second Regular Session,SB1287
AZ2004S1375,2004 - Forty-sixth Legislature - Second Regular Session,SB1375
AZ2004S1393,2004 - Forty-sixth Legislature - Second Regular Session,SB1393
AZ2005H2288,2005 - Forty-seventh Legislature - First Regular Session,HB2288
AZ2005H2332,2005 - Forty-seventh Legislature - First Regular Session,HB2332
AZ2005H2334,2005 - Forty-seventh Legislature - First Regular Session,HB2334
AZ2005H2335,2005 - Forty-seventh Legislature - First Regular Session,HB2335
AZ2005H2336,2005 - Forty-seventh Legislature - First Regular Session,HB2336
AZ2005H2345,2005 - Forty-seventh Legislature - First Regular Session,HB2345
AZ2005H2346,2005 - Forty-seventh Legislature - First Regular Session,HB2346
AZ2005H2348,2005 - Forty-seventh Legislature - First Regular Session,HB2348
AZ2005H2399,2005 - Forty-seventh Legislature - First Regular Session,HB2399
AZ2005H2491,2005 - Forty-seventh Legislature - First Regular Session,HB2491
AZ2005H2493,2005 - Forty-seventh Legislature - First Regular Session,HB2493
AZ2005H2495,2005 - Forty-seventh Legislature - First Regular Session,HB2495
AZ2005H2658,2005 - Forty-seventh Legislature - First Regular Session,HB2658
AZ2005H2675,2005 - Forty-seventh Legislature - First Regular Session,HB2675
AZ2005H2693,2005 - Forty-seventh Legislature - First Regular Session,HB2693
AZ2005HCR2008,2005 - Forty-seventh Legislature - First Regular Session,HCR2008
AZ2005S1053,2005 - Forty-seventh Legislature - First Regular Session,SB1053
AZ2005S1078,2005 - Forty-seventh Legislature - First Regular Session,SB1078
AZ2005S1118,2005 - Forty-seventh Legislature - First Regular Session,SB1118
AZ2005S1186,2005 - Forty-seventh Legislature - First Regular Session,SB1186
AZ2005S1205,2005 - Forty-seventh Legislature - First Regular Session,SB1205
AZ2005S1218,2005 - Forty-seventh Legislature - First Regular Session,SB1218
AZ2005S1244,2005 - Forty-seventh Legislature - First Regular Session,SB1244
AZ2005S1258,2005 - Forty-seventh Legislature - First Regular Session,SB1258
AZ2005S1259,2005 - Forty-seventh Legislature - First Regular Session,SB1259
AZ2005S1300,2005 - Forty-seventh Legislature - First Regular Session,SB1300
AZ2005S1342,2005 - Forty-seventh Legislature - First Regular Session,SB1342
AZ2005S1344,2005 - Forty-seventh Legislature - First Regular Session,SB1344
AZ2005S1469,2005 - Forty-seventh Legislature - First Regular Session,SB1469
AZ2005S1509,2005 - Forty-seventh Legislature - First Regular Session,SB1509
AZ2006H2013,2006 - Forty-seventh Legislature - Second Regular Session,HB2013
AZ2006H2078,2006 - Forty-seventh Legislature - Second Regular Session,HB2078
AZ2006H2155,2006 - Forty-seventh Legislature - Second Regular Session,HB2155
AZ2006H2250,2006 - Forty-seventh Legislature - Second Regular Session,HB2250
AZ2006H2297,2006 - Forty-seventh Legislature - Second Regular Session,HB2297
AZ2006H2491,2006 - Forty-seventh Legislature - Second Regular Session,HB2491
AZ2006H2492,2006 - Forty-seventh Legislature - Second Regular Session,HB2492
AZ2006H2528,2006 - Forty-seventh Legislature - Second Regular Session,HB2528
AZ2006H2529,2006 - Forty-seventh Legislature - Second Regular Session,HB2529
AZ2006H2530,2006 - Forty-seventh Legislature - Second Regular Session,HB2530
AZ2006H2533,2006 - Forty-seventh Legislature - Second Regular Session,HB2533
AZ2006H2534,2006 - Forty-seventh Legislature - Second Regular Session,HB2534
AZ2006H2537,2006 - Forty-seventh Legislature - Second Regular Session,HB2537
AZ2006H2538,2006 - Forty-seventh Legislature - Second Regular Session,HB2538
AZ2006H2539,2006 - Forty-seventh Legislature - Second Regular Session,HB2539
AZ2006H2540,2006 - Forty-seventh Legislature - Second Regular Session,HB2540
AZ2006H2635,2006 - Forty-seventh Legislature - Second Regular Session,HB2635
AZ2006H2638,2006 - Forty-seventh Legislature - Second Regular Session,HB2638
AZ2006H2718,2006 - Forty-seventh Legislature - Second Regular Session,HB2718
AZ2006H2829,2006 - Forty-seventh Legislature - Second Regular Session,HB2829
AZ2006H2859,2006 - Forty-seventh Legislature - Second Regular Session,HB2859
AZ2006S1037,2006 - Forty-seventh Legislature - Second Regular Session,SB1037
AZ2006S1041,2006 - Forty-seventh Legislature - Second Regular Session,SB1041
AZ2006S1101,2006 - Forty-seventh Legislature - Second Regular Session,SB1101
AZ2006S1106,2006 - Forty-seventh Legislature - Second Regular Session,SB1106
AZ2006S1108,2006 - Forty-seventh Legislature - Second Regular Session,SB1108
AZ2006S1114,2006 - Forty-seventh Legislature - Second Regular Session,SB1114
AZ2006S1117,2006 - Forty-seventh Legislature - Second Regular Session,SB1117
AZ2006S1231,2006 - Forty-seventh Legislature - Second Regular Session,SB1231
AZ2006S1366,2006 - Forty-seventh Legislature - Second Regular Session,SB1366
AZ2006S1387,2006 - Forty-seventh Legislature - Second Regular Session,SB1387
AZ2006S1395,2006 - Forty-seventh Legislature - Second Regular Session,SB1395
AZ2006S1474,2006 - Forty-seventh Legislature - Second Regular Session,SB1474
AZ2006S1498,2006 - Forty-seventh Legislature - Second Regular Session,SB1498
AZ2006S1557,2006 - Forty-seventh Legislature - Second Regular Session,SB1557
AZ2007H2055,2007 - Forty-eighth Legislature - First Regular Session,HB2055
AZ2007H2059,2007 - Forty-eighth Legislature - First Regular Session,HB2059
AZ2007H2060,2007 - Forty-eighth Legislature - First Regular Session,HB2060
AZ2007H2061,2007 - Forty-eighth Legislature - First Regular Session,HB2061
AZ2007H2062,2007 - Forty-eighth Legislature - First Regular Session,HB2062
AZ2007H2090,2007 - Forty-eighth Legislature - First Regular Session,HB2090
AZ2007H2106,2007 - Forty-eighth Legislature - First Regular Session,HB2106
AZ2007H2205,2007 - Forty-eighth Legislature - First Regular Session,HB2205
AZ2007H2297,2007 - Forty-eighth Legislature - First Regular Session,HB2297
AZ2007H2403,2007 - Forty-eighth Legislature - First Regular Session,HB2403
AZ2007H2415,2007 - Forty-eighth Legislature - First Regular Session,HB2415
AZ2007H2417,2007 - Forty-eighth Legislature - First Regular Session,HB2417
AZ2007H2418,2007 - Forty-eighth Legislature - First Regular Session,HB2418
AZ2007H2430,2007 - Forty-eighth Legislature - First Regular Session,HB2430
AZ2007H2511,2007 - Forty-eighth Legislature - First Regular Session,HB2511
AZ2007S1065,2007 - Forty-eighth Legislature - First Regular Session,SB1065
AZ2007S1066,2007 - Forty-eighth Legislature - First Regular Session,SB1066
AZ2007S1211,2007 - Forty-eighth Legislature - First Regular Session,SB1211
AZ2007S1212,2007 - Forty-eighth Legislature - First Regular Session,SB1212
AZ2007S1272,2007 - Forty-eighth Legislature - First Regular Session,SB1272
AZ2007S1275,2007 - Forty-eighth Legislature - First Regular Session,SB1275
AZ2007S1276,2007 - Forty-eighth Legislature - First Regular Session,SB1276
AZ2007S1283,2007 - Forty-eighth Legislature - First Regular Session,SB1283
AZ2007S1298,2007 - Forty-eighth Legislature - First Regular Session,SB1298
AZ2007S1338,2007 - Forty-eighth Legislature - First Regular Session,SB1338
AZ2007S1343,2007 - Forty-eighth Legislature - First Regular Session,SB1343
AZ2007S1430,2007 - Forty-eighth Legislature - First Regular Session,SB1430
AZ2007S1521,2007 - Forty-eighth Legislature - First Regular Session,SB1521
AZ2007S1536,2007 - Forty-eighth Legislature - First Regular Session,SB1536
AZ2007S1623,2007 - Forty-eighth Legislature - First Regular Session,SB1623
AZ2007SCR1005,2007 - Forty-eighth Legislature - First Regular Session,SCR1005
AZ2008H2147,2008 - Forty-eighth Legislature - Second Regular Session,HB2147
AZ2008H2279,2008 - Forty-eighth Legislature - Second Regular Session,HB2279
AZ2008H2364,2008 - Forty-eighth Legislature - Second Regular Session,HB2364
AZ2008H2432,2008 - Forty-eighth Legislature - Second Regular Session,HB2432
AZ2008H2433,2008 - Forty-eighth Legislature - Second Regular Session,HB2433
AZ2008H2451,2008 - Forty-eighth Legislature - Second Regular Session,HB2451
AZ2008H2551,2008 - Forty-eighth Legislature - Second Regular Session,HB2551
AZ2008H2579,2008 - Forty-eighth Legislature - Second Regular Session,HB2579
AZ2008H2651,2008 - Forty-eighth Legislature - Second Regular Session,HB2651
